,metabolites,microbes,edgeType
0,84,69,3
1,191,57,2
2,65,10,3
3,156,41,3
4,98,22,3
5,154,59,3
6,39,61,3
7,217,19,2
8,155,55,3
9,110,55,3
10,143,28,2
11,150,41,2
12,217,50,2
13,4,25,3
14,2,23,2
15,95,2,2
16,215,18,3
17,213,23,2
18,218,13,3
19,110,31,2
20,217,26,3
21,154,10,3
22,201,41,3
23,156,14,2
24,141,66,2
25,129,19,3
26,101,69,3
27,185,63,2
28,110,50,2
29,129,50,3
30,204,65,2
31,83,44,2
32,214,12,3
33,109,25,3
34,155,43,2
35,90,12,3
36,104,39,2
37,196,69,3
38,76,34,2
39,195,51,2
40,216,13,3
41,86,49,2
42,112,38,3
43,41,19,2
44,150,27,3
45,97,41,2
46,192,12,3
47,151,30,2
48,29,18,3
49,203,19,3
50,143,39,2
51,151,50,2
52,109,14,3
53,215,23,3
54,4,17,2
55,207,32,3
56,160,34,3
57,55,60,3
58,97,26,3
59,58,21,3
60,76,39,2
61,217,44,2
62,211,33,2
63,134,55,2
64,90,16,3
65,138,49,3
66,55,61,3
67,80,18,3
68,216,32,2
69,98,31,3
70,112,13,2
71,125,66,2
72,60,35,3
73,58,11,3
74,113,9,3
75,4,10,2
76,128,2,3
77,155,4,2
78,41,65,2
79,43,10,2
80,109,12,3
81,157,69,3
82,37,32,3
83,218,3,3
84,210,17,2
85,14,55,3
86,52,56,2
87,216,43,3
88,86,69,3
89,145,60,2
90,14,0,2
91,19,13,3
92,107,69,3
93,211,42,2
94,108,66,2
95,215,13,3
96,183,55,2
97,181,10,2
98,35,65,2
99,155,17,3
100,129,60,2
101,169,16,3
102,113,43,3
103,171,15,3
104,35,9,2
105,117,17,3
106,128,42,3
107,208,5,2
108,181,22,2
109,24,55,3
110,190,1,2
111,167,54,3
112,55,41,3
113,156,69,3
114,171,42,3
115,13,11,2
116,218,64,3
117,180,33,2
118,79,41,2
119,58,13,3
120,137,2,3
121,107,26,3
122,93,11,3
123,22,55,3
124,120,27,3
125,144,31,3
126,145,32,3
127,21,41,3
128,211,14,2
129,151,33,2
130,57,55,3
131,216,34,3
132,110,69,3
133,121,3,3
134,117,12,3
135,101,15,2
136,195,29,2
137,195,6,2
138,75,21,2
139,110,54,2
140,164,11,2
141,43,36,3
142,52,69,3
143,184,50,3
144,35,64,2
145,70,2,2
146,127,44,3
147,191,43,2
148,109,26,2
149,43,69,3
150,116,12,3
151,168,64,3
152,166,66,2
153,127,14,2
154,10,12,3
155,211,41,3
156,117,69,3
157,135,61,3
158,119,17,3
159,63,30,2
160,209,48,3
161,127,6,2
162,159,9,3
163,40,64,2
164,158,10,2
165,138,18,3
166,128,69,3
167,117,9,3
168,121,71,2
169,143,32,2
170,148,71,2
171,137,65,3
172,218,48,2
173,129,24,3
174,79,14,2
175,95,14,2
176,97,60,2
177,75,23,3
178,104,38,3
179,166,16,3
180,48,17,2
181,210,22,3
182,146,60,3
183,139,41,3
184,158,7,3
185,216,49,3
186,215,36,3
187,133,43,2
188,48,43,3
189,173,10,3
190,1,57,2
191,146,41,3
192,5,49,3
193,218,38,3
194,136,35,2
195,141,63,2
196,87,0,2
197,76,65,3
198,189,19,3
199,135,69,3
200,152,41,3
201,57,60,3
202,72,45,2
203,113,18,3
204,69,21,2
205,47,44,2
206,48,65,3
207,113,69,3
208,68,35,2
209,217,29,3
210,212,28,2
211,198,7,2
212,84,18,3
213,23,20,3
